02-10-2018 00:28:37 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 5920 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
02-10-2018 00:28:37 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
02-10-2018 00:28:45 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 8.686 seconds (JVM running for 10.125)
02-10-2018 00:31:24 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 15708 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
02-10-2018 00:31:24 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
02-10-2018 00:31:33 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.006 seconds (JVM running for 10.566)
02-10-2018 09:35:11 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 8732 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
02-10-2018 09:35:11 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
02-10-2018 09:35:24 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 12.834 seconds (JVM running for 15.467)
02-10-2018 09:38:19 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 13788 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
02-10-2018 09:38:19 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
02-10-2018 09:38:29 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 11.488 seconds (JVM running for 13.817)
02-10-2018 10:01:14 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 18516 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
02-10-2018 10:01:14 [restartedMain] {680} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
02-10-2018 10:01:23 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.564 seconds (JVM running for 11.601)
