01-10-2018 18:41:24 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 14124 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
01-10-2018 18:41:24 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
01-10-2018 18:41:34 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 10.1 seconds (JVM running for 11.871)
01-10-2018 22:20:38 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 12880 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
01-10-2018 22:20:38 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
01-10-2018 22:20:46 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 8.86 seconds (JVM running for 10.694)
01-10-2018 22:57:38 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 6608 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
01-10-2018 22:57:38 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
01-10-2018 22:57:46 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 8.72 seconds (JVM running for 10.161)
01-10-2018 23:00:39 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 14396 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
01-10-2018 23:00:39 [restartedMain] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
01-10-2018 23:00:47 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.035 seconds (JVM running for 10.817)
01-10-2018 23:38:20 [restartedMain] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 3268 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
01-10-2018 23:38:20 [restartedMain] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
01-10-2018 23:38:28 [restartedMain] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 8.358 seconds (JVM running for 9.974)
